epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,2784.34,0.63852,1.13762,1.10506,1.01425,0.76208,0.74286,0.80859,0.66349,0.76208,0.74286,0.79502,0.52235,0.63911,1.57664,1.0957,1.11525,0.0014258,0.0014258,0.0014258
31,2875.12,0.62471,1.00657,1.03591,1.00396,0.72573,0.75238,0.81123,0.67308,0.70688,0.73333,0.76595,0.52111,0.61021,1.68285,1.02665,1.09183,0.001406,0.001406,0.001406
32,2966.82,0.67552,1.19248,1.02756,1.02813,0.7728,0.73333,0.80934,0.66527,0.72128,0.7394,0.76604,0.52101,0.61366,1.64471,1.01875,1.09779,0.0013862,0.0013862,0.0013862
33,3057.9,0.65997,1.13451,1.06962,1.03765,0.79136,0.73333,0.82807,0.68055,0.77995,0.72381,0.77689,0.55065,0.6114,1.43919,0.99679,1.12967,0.0013664,0.0013664,0.0013664
34,3147.75,0.60027,1.08332,0.97665,1.00255,0.79039,0.74286,0.8269,0.65838,0.78025,0.73333,0.78563,0.55972,0.63064,1.4073,1.09846,1.15607,0.0013466,0.0013466,0.0013466
35,3236.84,0.62007,1.05488,0.98598,0.99571,0.77733,0.76468,0.82156,0.6396,0.77733,0.76468,0.78558,0.55836,0.68278,1.33815,1.07257,1.24388,0.0013268,0.0013268,0.0013268
36,3330.56,0.64767,1.1225,1.06258,1.04127,0.79768,0.81905,0.84074,0.65792,0.76986,0.79048,0.78617,0.56766,0.6718,1.21587,0.99974,1.19543,0.001307,0.001307,0.001307
37,3423.93,0.65326,1.1447,1.00226,1.01866,0.79768,0.81905,0.84074,0.65792,0.76986,0.79048,0.78617,0.56766,0.6718,1.21587,0.99974,1.19543,0.0012872,0.0012872,0.0012872
38,3514.83,0.59598,0.96298,0.97149,1.02463,0.79394,0.82857,0.82863,0.66713,0.78482,0.81905,0.78068,0.57584,0.65344,1.22716,0.97269,1.15744,0.0012674,0.0012674,0.0012674
39,3606.58,0.59418,0.94261,0.90698,0.98577,0.82703,0.78095,0.82361,0.67676,0.81163,0.77143,0.78292,0.57777,0.63845,1.33893,0.95478,1.13597,0.0012476,0.0012476,0.0012476
40,3695.8,0.6526,1.13428,0.97407,1.03093,0.79458,0.77364,0.80659,0.66593,0.77502,0.75459,0.77241,0.55775,0.64832,1.48839,1.03402,1.16449,0.0012278,0.0012278,0.0012278
41,3786.36,0.56262,0.98848,0.93234,0.97025,0.75399,0.79048,0.8034,0.67334,0.75399,0.79048,0.78215,0.57117,0.62581,1.33081,1.05555,1.14526,0.001208,0.001208,0.001208
42,3876.45,0.55569,0.89825,0.89176,0.98027,0.72609,0.80788,0.82816,0.69849,0.74173,0.80952,0.79474,0.59312,0.62631,1.26618,1.0167,1.15263,0.0011882,0.0011882,0.0011882
43,3967.03,0.61007,1.01437,0.90781,1.02231,0.71794,0.84762,0.83215,0.70399,0.7706,0.80952,0.807,0.59627,0.61077,1.18995,0.94348,1.12443,0.0011684,0.0011684,0.0011684
44,4058.04,0.58259,0.97822,0.9247,0.99497,0.73827,0.87619,0.83347,0.70056,0.73827,0.87619,0.82889,0.61131,0.5753,1.13303,0.90241,1.06777,0.0011486,0.0011486,0.0011486
45,4149.88,0.54899,0.90871,0.83589,0.95477,0.73827,0.87619,0.83347,0.70056,0.73827,0.87619,0.82889,0.61131,0.5753,1.13303,0.90241,1.06777,0.0011288,0.0011288,0.0011288
46,4239.41,0.55942,0.87745,0.88085,0.9816,0.7611,0.81905,0.8342,0.71042,0.76995,0.82857,0.83492,0.62125,0.568,1.19098,0.88238,1.05065,0.001109,0.001109,0.001109
47,4328.87,0.56636,0.90731,0.91819,1.00575,0.78978,0.82857,0.84011,0.71234,0.79885,0.8381,0.84552,0.61073,0.57796,1.22074,0.90828,1.06388,0.0010892,0.0010892,0.0010892
48,4419.85,0.57752,0.94373,0.90394,0.97044,0.78584,0.83874,0.84796,0.71982,0.83138,0.8,0.84675,0.62704,0.55643,1.16212,0.90826,1.05701,0.0010694,0.0010694,0.0010694
49,4512.27,0.55946,0.87679,0.91567,0.99989,0.78475,0.83333,0.84092,0.71308,0.81253,0.81905,0.83824,0.62306,0.5744,1.09286,0.9278,1.07524,0.0010496,0.0010496,0.0010496
50,4601.33,0.5425,0.83551,0.85534,0.94642,0.76173,0.82857,0.83152,0.71136,0.77924,0.84762,0.83335,0.62177,0.59587,1.08799,0.94486,1.09823,0.0010298,0.0010298,0.0010298
